id,subcode,subname,credits,sub_type,sub_dept,sub_year,
1,23CE3201,Building Planning and Drawing,2.5,core,CE,ENGG-3,
2,23CE3202,Design of Steel Structures,4,core,CE,ENGG-3,
3,23CE3203,Transportation Engineering - I,4,core,CE,ENGG-3,
4,23CE3204,Estimation and Costing,3,core,CE,ENGG-3,
5,23CE42xx,Entrepreneurship Education Course,3,core,CE,ENGG-3,
6,23EG3283CE,English Language Communication Skills Lab - III,1.5,core,CE,ENGG-3,
7,23CE3281,Transportation Engineering - I Lab,1.5,core,CE,ENGG-3,
8,23BM3204,Personality and Professional Development Skills,1.5,core,CE,ENGG-3,
9,23CEXX281,Maintenance and repair of concrete structures (NPTEL),3,elective,CE,ENGG-3,
10,23CEXX28,Remote Sensing and GIS for rural development (NPTEL),3,elective,CE,ENGG-3,
11,20CE42xx,Advanced Reinforced Concrete Technology,3,core,CE,ENGG-4,
12,20CE42881,Air Pollution and Control,3,elective,CE,ENGG-4,
13,20CE42882,Remote Sensing Essentials,3,elective,CE,ENGG-4,
14,20XX42993,Geographic Information System,3,elective,CE,ENGG-4,
15,20XX42994,Modern Construction Materials,3,elective,CE,ENGG-4,
16,20CE4192,Project-2,5,core,CE,ENGG-4,
17,20HS42995,Indian Community Service,2,core,CE,ENGG-4,
18,23CH3201,Process Equipment Design,3.5,core,CH,ENGG-3,
19,23CH3202,Plant Design and Economics,3,core,CH,ENGG-3,
20,23CH3203,Transport Phenomena,4,core,CH,ENGG-3,
21,23CH32XX1,Aspen Plus Simulation Software - A Basic Course for Beginners,3,elective,CH,ENGG-3,
22,23CH32XX2,Matlab Programming for Numerical Computation,3,elective,CH,ENGG-3,
23,23XX32XXCH,Entrepreneurship Education (Wadwani foundation),3,core,CH,ENGG-3,
24,23CH3281,Chemical Process Dynamics and Control Lab,1.5,core,CH,ENGG-3,
25,23CH3282,Mass Transfer Operations Lab,1.5,core,CH,ENGG-3,
26,20EG3283,English Language Communication Skills Lab -III,1.5,core,CH,ENGG-3,
,23CH3297,Summer Internship,3,core,CH,ENGG-3,
27,20CH4249,Solid Waste Management,3,core,CH,ENGG-4,
28,20CH4226,Food Process Engineering,3,core,CH,ENGG-4,
29,20EE42XX,Bateries and Batery Managemnet System,3,core,CH,ENGG-4,
30,20HS4299CH,Indian community Services,2,core,CH,ENGG-4,
31,20CH4293,Project,6,core,CH,ENGG-4,
32,20BE4201,Environmental science,0,core,CH,ENGG-4,
33,23CS3201,Cryptography and Network Security,4,CORE,CS,ENGG-3,
34,23CS3202,Machine Learning,4,CORE,CS,ENGG-3,
35,23CS32XX1,Introduction to Information Retrieval (noc26-cs13),3,elective,CS,ENGG-3,
36,23CS32XX2,Foundations of Deep Learning: Concepts and Applications (noc26-cs01,3,elective,CS,ENGG-3,
37,23CS32XX3,"Object Oriented System Development using UML, Java And Patterns(noc26-cs46)",3,elective,CS,ENGG-3,
38,23CS32XX4,Statistical Foundation for Big Data Analysis(noc26-cs09),3,elective,CS,ENGG-3,
39,23XX32XX11,Entreprenership Education (Wadhwani foundation),3,CORE,CS,ENGG-3,
40,23EG32832,English Lab-III,1.5,CORE,CS,ENGG-3,
41,23CS3291,Mini Project,3,CORE,CS,ENGG-3,
42,23CS3203,Career Development Course,0,CORE,CS,ENGG-3,
43,20CS4999,Cloud Computing( noc26-cs55),3,elective,CS,ENGG-4,
44,20CS49991,Introduction to Internet Of Things (noc26-cs37),3,elective,CS,ENGG-4,
45,20PYM303,Elementart Solid State Physics,3,core,CS,ENGG-4,Replaced with other
46,20PYM3031,"Human Computer Interaction (noc26-cs70),",3,elective,CS,ENGG-4,
47,20PYM303,Computer Vision and Image Processing - Fundamentals and Applications (noc26-ee31),3,elective,CS,ENGG-4,
48,20CS4294,Project - II,6,CORE,CS,ENGG-4,
49,20CS4299,Community Service,2,CORE,CS,ENGG-4,
